Name,Link Product,Store,Type,Author Name,Short Description,Publisher,Translators,Categories,Width,Length,Height,Product ID,Price,Original Price,Discount,Discount Rate,Rating,Review Count,Quantity Sold,Number of page,Range Price,Publication Date,Publication Year
Người Ở Trong Mơ – Tập 1,https://tiki.vn/nguoi-o-trong-mo-tap-1-p271317294.html?spid=271317296,Tiki Trading,configurable,Nalah2410,Quà tặng: Bản thường: 01 bookmark bồi cứng (Quà kẹp trong sách)Bản đặc biệt : - 01 bookmark bồi cứng (Quà kẹp trong sách)- 01 sticker (Quà kẹp trong sách)- 02 thẻ học sinh (Quà rời)- 05 postcard giấ...,SkyComics,Unknown,"Truyện Tranh, Manga, Comic",13.0,19.0,0.0,271317294,74600,95000,20400,21,4.8,19,185.0,198.0,Mức 2,2020-05-01 00:00:00,2020.0
Nghệ Thuật Tư Duy Rành Mạch (Tái Bản),https://tiki.vn/nghe-thuat-tu-duy-ranh-mach-tai-ban-p7718737.html?spid=20460266,Nhà sách Fahasa,simple,Rolf Dobelli,"Mọi người đều mắc sai lầm.Những sai lầm trong việc ra quyết định đều bắt nguồn từ các lỗi tư duy tưởng như đơn giản, nhưng dần dà chúng tích tụ thành những thành kiến khó bỏ. Vậy mà hiếm khi chúng ta...",Nhã Nam,Minh Thi,Sách tiếng Việt,14.0,20.5,0.0,7718737,94400,118000,23600,20,5.0,41,361.0,422.0,Mức 2,2018-01-11 00:00:00,2018.0
Không Gia Đình (Tái Bản 2022),https://tiki.vn/khong-gia-dinh-tai-ban-2022-p189572584.html?spid=189572585,Tiki Trading,simple,Hector Malot,"“KHÔNG GIA ĐÌNH kể chuyện về cuộc đời của cậu bé Rémi. Từ nhỏ, Rémi đã bị bắt cóc, rồi bị bố nuôi bán cho một đoàn xiếc thú. Em đã theo đoàn xiếc ấy đi lưu lạc khắp nước Pháp.Rémi đã lớn lên trong gi...",NXB Kim Đồng,Unknown,Tác phẩm kinh điển,16.0,24.0,0.0,189572584,112000,150000,38000,25,4.7,11,122.0,464.0,Mức 3,2022-06-28 00:00:00,2022.0
Gấu Bông Trái Cây Gối Ôm Hình Trái Sầu Riêng Siêu Độc Lạ 25cm,https://tiki.vn/gau-bong-trai-cay-goi-om-hinh-trai-sau-rieng-sieu-doc-la-25cm-p201691793.html?spid=195897451,TIẾN PHÁT STORE,configurable,Unknown,"GẤU BÔNG TRÁI CÂY GỐI ÔM HÌNH TRÁI SẦU RIÊNG SIÊU ĐỘC LẠ 25CMChất liệu bông mềm mạiChất liệu an toànThiết kế xinh xắn, dễ thươngKích thước: 25cmMàu sắc: xanh lá cây phối vàng (y hình)Chất liệu vải ca...",Others,Unknown,Thú Nhồi Bông,15.5,23.0,0.0,201691793,58300,68200,9900,15,5.0,5,45.0,408.5788395904437,Mức 2,2023-07-10 00:00:00,2023.0
Ninja Rantaro Tập 2,https://tiki.vn/ninja-rantaro-tap-2-p242085592.html?spid=242085593,Tiki Trading,simple,Soubee Amako,"Soubee Amako“Tiểu nhân là tác giả đây ạ. Không phải là chưa có tên đâu, bác là Soubee Amako. Ở cuối phần “Đại hội võ thuật” trong tập này, để Kirimaru giành chiến thắng, Rantaro và Shinbe đã phải khó...",NXB Kim Đồng,Nhiều người dịch,"Truyện Tranh, Manga, Comic",13.0,18.0,0.0,242085592,36000,40000,4000,10,5.0,2,75.0,208.0,Mức 1,2023-01-01 00:00:00,2023.0
Lũ Trẻ Ở Làng Ồn Ào,https://tiki.vn/lu-tre-o-lang-on-ao-p68360474.html?spid=68360475,Tiki Trading,simple,Astrid Lindgren,"“Tôi viết để làm vui đứa trẻ trong tôi, và tôi chỉ có thể hi vọng rằng những đứa trẻ khác cũng cảm thấy vui theo cách đó.” – niềm hi vọng của Astrid Lindgren đã hoàn toàn trở thành hiện thực, ngày nay...",NXB Phụ Nữ Việt Nam,Unknown,Văn học thiếu nhi,13.0,18.0,0.0,68360474,36300,54000,17700,33,5.0,200,1576.0,138.0,Mức 1,2020-09-15 00:00:00,2020.0
Sách Minh Triết Trong Ăn Uống Của Phương Đông (Tái Bản),https://tiki.vn/sach-minh-triet-trong-an-uong-cua-phuong-dong-tai-ban-p13833466.html?spid=138959502,WTBOOKS,simple,Ngô Đức Vượng,"Cơ thể được xây đắp bởi đồ ăn thức uống hàng ngày, nguồn năng lượng cho chúng ta hoạt động cũng từ đó. Vì vậy, hiểu biết Minh triết trong Ăn uống của phương Đông là điều vô cùng cần thiết. Tác giả Ng...",First News - Trí Việt,Unknown,Sách tiếng Việt,13.0,20.5,0.0,13833466,168000,168000,0,0,5.0,2,24.0,128.0,Mức 4,2019-10-04 00:00:00,2019.0
CHÀO TUỔI DẬY THÌ! Kiến thức về dậy thì dành cho các bạn NAM (8-12 tuổi),https://tiki.vn/chao-tuoi-day-thi-kien-thuc-ve-day-thi-danh-cho-cac-ban-nam-8-12-tuoi-p148068401.html?spid=148068402,HAPPY BABY BOOKS,simple,BS Trần Thị Huyên Thảo,"“Có một điều chúng ta cần biết và nên biết, là nếu chúng ta hiểu được quá trình dậy thì một cách thấu đáo, chuẩn bị tinh thần và cơ thể thật tốt cho nó, dậy thì sẽ trở thành một giai đoạn mà chúng ta ...",Công ty TNHH Phòng khám Happy Baby,Unknown,Sách Tâm Lý Tuổi Teen,14.0,20.0,0.0,148068401,67000,75000,8000,11,5.0,42,553.0,84.0,Mức 2,2021-11-15 14:21:18,2021.0
Upanishad - Cốt Tủy Của Giáo Huấn,https://tiki.vn/upanishad-cot-tuy-cua-giao-huan-p20645181.html?spid=36613394,Geta,simple,Osho,"Thái Hà Books trân trọng giới thiệu tới bạn đọc bộ sách gồm 5 cuốn của Osho: Đạo, Đức Phật, Thiền, Tantra và Upanishad.UPANISHADTừ Upanishad nghĩa là giáo huấn bí truyền, giáo huấn ẩn giấu, giáo huấn ...",Thái Hà,Lê Xuân Khoa,Sách tiếng Việt,13.0,19.0,0.0,20645181,110000,110000,0,0,0.0,0,68.0,285.0,Mức 3,2019-06-01 00:00:00,2019.0
"Băng Keo 2 Mặt Nano Đỏ Cường Lực Trong Suốt Siêu Dính, Chịu Nhiệt, Chống Nước",https://tiki.vn/bang-keo-2-mat-nano-do-cuong-luc-trong-suot-sieu-dinh-chiu-nhiet-chong-nuoc-p192288262.html?spid=192288268,Ghế Nam Việt,configurable,Unknown,"Băng Keo Nano Đỏ Cường Lực Trong Suốt Siêu Dính, Chịu Nhiệt, Chống NướcBăng keo 2 mặt Nano đỏ với độ dính cao hơn keo nano thường 50%, giúp keo dính chắc hơn và sử dụng được lâu hơn. Keo Nano đỏ phù ...",Others,Unknown,Băng Keo - Keo Hồ - Cắt Keo,14.0,20.5,0.0,192288262,40000,40000,0,0,4.6,41,245.0,408.5788395904437,Mức 1,2021-03-15 00:00:00,2021.0
